id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
48,44,Fakultas Ilmu Kesehatan,FIKES,48,Pepaya,Carica papaya L.,Caricaceae,Akar; batang dan kulit batang; daun; bunga; buah matang dan mentah; kulit buah; biji; getah/lateks dan papain.,"Buah matang dikonsumsi segar, dibuat jus, atau diolah sebagai pangan; buah muda dimasak. Daun, akar, dan kulit batang dibuat infusa/dekokta atau perasan. Penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak biji, lateks/papain, fraksi, dan nanopartikel berbasis ekstrak.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),9
49,45,Fakultas Ilmu Kesehatan,FIKES,49,Kersen,Muntingia calabura L.,Muntingiaceae,Akar; kulit batang dan batang; daun; bunga; buah.,"Buah dikonsumsi segar atau diolah sebagai selai/pangan. Daun, akar, bunga, dan kulit batang dibuat infusa/dekokta, teh, atau sediaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
50,46,Fakultas Ilmu Kesehatan,FIKES,50,Bloodberry,Rivina humilis L.,Petiveriaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
51,47,Fakultas Ilmu Kesehatan,FIKES,51,Walisongo kerdil,Heptapleurum arboricola Hayata,Araliaceae,Daun dan sediaan tablet berbasis bahan Schefflera arboricola; getah/daun sebagai sumber paparan toksik.,Tablet berbasis Schefflera arboricola diberikan secara oral pada tikus dengan neuropati diabetik yang diinduksi streptozotosin. Daun dan getah tidak direkomendasikan untuk konsumsi langsung karena kristal kalsium oksalat dapat mengiritasi jaringan mulut dan kulit.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi,3
52,48,Fakultas Ilmu Kesehatan,FIKES,52,Jengger ayam,Celosia argentea L.,Amaranthaceae,Akar; batang; daun dan pucuk muda; bunga/perbungaan; biji.,"Daun dan pucuk muda dimasak sebagai sayuran. Biji, daun, bunga, akar, dan seluruh tanaman dibuat dekokta, infusa, serbuk, atau ekstrak air, etanol, metanol, petroleum eter, dan fraksi pelarut untuk penggunaan tradisional dan pengujian farmakologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Gangguan Onkologi (Kanker),6
53,49,Fakultas Ilmu Kesehatan,FIKES,53,Ginje/oleander kuning,Cascabela thevetia (L.) Lippold,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
54,50,Fakultas Ilmu Kesehatan,FIKES,54,Palem merah,Cyrtostachys renda Blume,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
55,51,Fakultas Kedokteran,FK,1,Bintaro laut,Cerbera odollam Gaertn.,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
56,52,Fakultas Kedokteran,FK,2,Sirih gading,Epipremnum pinnatum (L.) Engl.,Araceae,"Buah: kulit, bagian tengah/core, dan biji/kernel; daun dan batang/getah sebagai sumber paparan kalsium oksalat.","Bagian buah dikeringkan dan diekstraksi untuk skrining fitokimia, uji antioksidan, penghambatan melanogenesis, toksisitas embrio ikan zebra, dan antibakteri. Daun atau batang tidak direkomendasikan untuk dikonsumsi langsung karena kristal kalsium oksalat dapat menyebabkan iritasi mulut, saluran cerna, dan kulit.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Kulit (Dermatologi),2
57,53,Fakultas Kedokteran,FK,3,Bintaro laut,Cerbera odollam Gaertn.,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
58,54,Fakultas Kedokteran,FK,4,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
59,54,Fakultas Kedokteran,FK,5,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
60,54,Fakultas Kedokteran,FK,6,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
61,55,Fakultas Kedokteran,FK,7,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
62,53,Fakultas Kedokteran,FK,8,Bintaro laut,Cerbera odollam Gaertn.,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
63,56,Fakultas Kedokteran,FK,9,Gaharu,Aquilaria crassna Pierre ex Lecomte,Thymelaeaceae,Daun; kayu gaharu/resin dan minyak gaharu.,"Daun dikeringkan lalu dimaserasi menggunakan etanol atau diekstraksi dengan etil asetat. Ekstrak daun diberikan pada model hewan atau diuji pada sel saraf, nematoda, makrofag, dan bakteri. Kayu gaharu/resin digunakan sebagai bahan aromatik dan minyak diperoleh melalui distilasi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Penyakit Infeksi,3
64,57,Fakultas Kedokteran,FK,10,Biola cantik,Ficus lyrata Warb.,Moraceae,Kulit batang; buah dalam catatan penggunaan pangan.,"Kulit batang dikeringkan dan dibuat ekstrak yang diberikan secara oral pada tikus dengan penyakit hati berlemak akibat diet tinggi lemak. Buah tercatat sebagai bahan pangan dalam basis data penggunaan, tetapi tidak digunakan sebagai dasar aktivitas farmakologi studi kulit batang.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi,4
65,54,Fakultas Kedokteran,FK,11,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
66,58,Fakultas Kedokteran,FK,12,Cemara laut,Casuarina equisetifolia L.,Casuarinaceae,Akar; kulit batang; ranting hijau/branchlets dan daun sisik; bunga/perbungaan; buah atau runjung; biji.,"Bagian tanaman digunakan sebagai rebusan/dekokta dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, metanol 80%, serta fraksi pelarut; ekstrak buah metanol diuji antiartritis, ekstrak bagian vegetatif diuji antimikroba/sitotoksik, ekstrak diuji nefroprotektif secara oral, dan ekstrak etanol perbungaan diuji toksisitas akut.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
67,59,Fakultas Kedokteran,FK,13,Palem,Ptychosperma propinquum (Becc.) Martelli,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
68,60,Fakultas Kedokteran,FK,14,Kelapa,Cocos nucifera L.,Arecaceae,"Akar; daun; bunga/perbungaan; buah (air kelapa/endosperma cair, daging/endosperma padat, santan, minyak, sabut/mesokarp, dan tempurung/endokarp).","Air dan daging buah digunakan segar; daging diperas menjadi santan; minyak diperoleh dari kopra/daging buah; akar, daun, bunga, sabut, tempurung, dan bagian buah dibuat sebagai dekokta atau ekstrak air, etanol, metanol, dan pelarut lain untuk pengujian; beberapa sediaan digunakan oral atau topikal sesuai literatur.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
69,61,Fakultas Kedokteran,FK,15,Maja/bila,Crescentia cujete L.,Bignoniaceae,"Akar; kulit batang dan batang; daun; bunga; buah, kulit buah, daging buah, dan biji.","Buah dan bagian vegetatif dibuat dekokta, infusa, sirup, atau ekstrak air, etanol, metanol, petroleum eter, dan fraksi pelarut. Penelitian mencakup ekstrak daun, kulit batang, kulit/daging buah, biji, senyawa terisolasi, serta formulasi topikal dan pemberian oral pada model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
70,61,Fakultas Kedokteran,FK,16,Maja/bila,Crescentia cujete L.,Bignoniaceae,"Akar; kulit batang dan batang; daun; bunga; buah, kulit buah, daging buah, dan biji.","Buah dan bagian vegetatif dibuat dekokta, infusa, sirup, atau ekstrak air, etanol, metanol, petroleum eter, dan fraksi pelarut. Penelitian mencakup ekstrak daun, kulit batang, kulit/daging buah, biji, senyawa terisolasi, serta formulasi topikal dan pemberian oral pada model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
71,62,Fakultas Kedokteran,FK,17,Newbouldia,Newbouldia laevis (P.Beauv.) Seem. ex Bureau,Bignoniaceae,Daun; akar.,"Daun dan akar dikeringkan, diserbukkan, lalu dimaserasi menggunakan metanol. Ekstrak digunakan untuk karakterisasi farmakognostik dan diberikan pada tikus/mencit dalam uji analgesik, antiinflamasi, dan antikonvulsan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Gangguan Reumatologi,3
72,62,Fakultas Kedokteran,FK,18,Newbouldia,Newbouldia laevis (P.Beauv.) Seem. ex Bureau,Bignoniaceae,Daun; akar.,"Daun dan akar dikeringkan, diserbukkan, lalu dimaserasi menggunakan metanol. Ekstrak digunakan untuk karakterisasi farmakognostik dan diberikan pada tikus/mencit dalam uji analgesik, antiinflamasi, dan antikonvulsan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Gangguan Reumatologi,3
73,284,Fakultas Kedokteran,FK,19,Sawo,Manilkara zapota (L.) P.Royen,Sapotaceae,Buah dan daging buah; kulit buah; biji; daun; kulit batang; lateks.,"Buah matang dikonsumsi segar atau diolah sebagai pangan. Biji, daun, dan kulit batang digunakan secara tradisional sebagai rebusan atau sediaan lain. Penelitian memakai ekstrak air, etanol, metanol, petroleum eter, fraksi, serta uji in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),11
74,63,Fakultas Kedokteran,FK,20,Jambu mawar,Syzygium jambos (L.) Alston,Myrtaceae,Akar; batang dan kulit batang; daun; bunga; buah/daging buah; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Daun, kulit batang, akar, bunga, dan biji digunakan sebagai infusa/dekokta atau diekstraksi dengan air, etanol, metanol, aseton, hidroalkohol, n-heksana, dan diklorometana. Ekstrak, fraksi, nanopartikel, dan senyawa terisolasi diuji in vitro serta in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
75,63,Fakultas Kedokteran,FK,21,Jambu mawar,Syzygium jambos (L.) Alston,Myrtaceae,Akar; batang dan kulit batang; daun; bunga; buah/daging buah; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Daun, kulit batang, akar, bunga, dan biji digunakan sebagai infusa/dekokta atau diekstraksi dengan air, etanol, metanol, aseton, hidroalkohol, n-heksana, dan diklorometana. Ekstrak, fraksi, nanopartikel, dan senyawa terisolasi diuji in vitro serta in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
76,64,Fakultas Kedokteran,FK,22,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
77,65,Fakultas Kedokteran,FK,23,Rambutan,Nephelium lappaceum L.,Sapindaceae,Daging buah/aril; kulit buah/perikarp; biji.,"Daging buah matang dikonsumsi segar sebagai pangan. Kulit buah dikeringkan dan diserbukkan, lalu diekstraksi menggunakan air, etanol, metanol, atau campuran pelarut; ekstrak diberikan oral pada model hewan atau diuji in vitro. Ekstrak kulit dan geraniin juga diformulasikan untuk pengujian topikal pada iritasi kulit; metode penelitian ini bukan anjuran penggunaan mandiri.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,5
78,66,Fakultas Kedokteran,FK,24,Gaharu cina,Aquilaria sinensis (Lour.) Spreng.,Thymelaeaceae,Daun; kayu gaharu/resin; minyak atsiri.,"Daun dikeringkan lalu dibuat ekstrak air, aseton, etanol, atau fraksi pelarut; ekstrak diberikan oral pada model hewan untuk efek laksatif, antinosiseptif, dan antiinflamasi, atau difraksinasi/diisolasi untuk uji enzim α-glukosidase. Kayu berresin digunakan sebagai gaharu dan minyak atsiri diperoleh melalui distilasi; data penelitian tidak diubah menjadi anjuran terapi manusia.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi,6
79,67,Fakultas Kedokteran,FK,25,Mundu,Garcinia dulcis (Roxb.) Kurz,Clusiaceae,Akar; kulit batang; daun; bunga; buah dan kulit buah.,"Buah matang dikonsumsi sebagai pangan atau diolah. Akar, kulit batang, daun, bunga, dan buah dibuat sebagai dekokta atau diekstraksi menggunakan air, etanol, metanol, dan pelarut organik; garcinol diisolasi dari buah matang untuk uji sel, sedangkan ekstrak bunga diberikan pada model tikus hipertensi.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Imunologi; Gangguan Reumatologi,3
80,68,Fakultas Kedokteran,FK,26,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
81,69,Fakultas Kedokteran,FK,27,Rambutan,Nephelium lappaceum L.,Sapindaceae,Daging buah/aril; kulit buah/perikarp; biji.,"Daging buah matang dikonsumsi segar sebagai pangan. Kulit buah dikeringkan dan diserbukkan, lalu diekstraksi menggunakan air, etanol, metanol, atau campuran pelarut; ekstrak diberikan oral pada model hewan atau diuji in vitro. Ekstrak kulit dan geraniin juga diformulasikan untuk pengujian topikal pada iritasi kulit; metode penelitian ini bukan anjuran penggunaan mandiri.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,5
82,70,Fakultas Kedokteran,FK,28,Gaharu,Aquilaria crassna Pierre ex Lecomte,Thymelaeaceae,Daun; kayu gaharu/resin dan minyak gaharu.,"Daun dikeringkan lalu dimaserasi menggunakan etanol atau diekstraksi dengan etil asetat. Ekstrak daun diberikan pada model hewan atau diuji pada sel saraf, nematoda, makrofag, dan bakteri. Kayu gaharu/resin digunakan sebagai bahan aromatik dan minyak diperoleh melalui distilasi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Penyakit Infeksi,3
83,71,Fakultas Kedokteran,FK,29,Jambu mawar,Syzygium jambos (L.) Alston,Myrtaceae,Akar; batang dan kulit batang; daun; bunga; buah/daging buah; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Daun, kulit batang, akar, bunga, dan biji digunakan sebagai infusa/dekokta atau diekstraksi dengan air, etanol, metanol, aseton, hidroalkohol, n-heksana, dan diklorometana. Ekstrak, fraksi, nanopartikel, dan senyawa terisolasi diuji in vitro serta in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
